City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Garwa,IN,24.1833,83.8167,75.2,90,48,1.61,scattered clouds
80,Barrow,US,71.2906,-156.7887,32.18,88,100,10.63,overcast clouds
81,Rosarito,MX,32.3333,-117.0333,68.25,79,25,4.74,scattered clouds
82,Deputatskiy,RU,69.3,139.9,12.42,91,100,6.91,overcast clouds
83,Georgetown,MY,5.4112,100.3354,80.89,94,20,3.44,few clouds
84,Constitucion,CL,-35.3333,-72.4167,49.91,89,98,6.53,overcast clouds
85,Airai,TL,-8.9266,125.4092,71.35,57,100,3.2,overcast clouds
86,Lebu,CL,-37.6167,-73.65,51.71,87,100,9.06,overcast clouds
87,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,93,100,10.36,overcast clouds
88,Souillac,MU,-20.5167,57.5167,70.18,83,40,9.22,scattered clouds
89,Hami,CN,42.8,93.45,53.01,35,0,6.51,clear sky
90,Wennigsen,DE,52.274,9.5729,64.47,80,100,19.93,overcast clouds
91,Fengrun,CN,39.8333,118.1167,52.99,32,95,3.06,overcast clouds
92,Klaksvik,FO,62.2266,-6.589,49.12,80,83,29.73,broken clouds
93,Ambilobe,MG,-13.2,49.05,65.1,80,5,3.33,clear sky
94,Coquimbo,CL,-29.9533,-71.3436,55.13,94,0,8.05,clear sky
95,Beringovskiy,RU,63.05,179.3167,43.66,82,93,34.85,overcast clouds
96,Qaanaaq,GL,77.484,-69.3632,5.41,70,16,7.31,few clouds
97,Atuona,PF,-9.8,-139.0333,77.45,72,0,17.22,clear sky
98,Tuatapere,NZ,-46.1333,167.6833,44.53,80,87,14.58,overcast clouds
99,Provideniya,RU,64.3833,-173.3,41.36,100,100,38.03,light intensity shower rain
100,Kansk,RU,56.2017,95.7175,33.21,91,100,12.39,overcast clouds
101,Vila Velha,BR,-20.3297,-40.2925,75.15,88,40,5.75,scattered clouds
102,Kununurra,AU,-15.7667,128.7333,91.38,52,40,6.91,scattered clouds
103,Saint Anthony,US,45.0205,-93.218,66.81,78,94,3.13,overcast clouds
104,Marmora,IT,44.4583,7.094,50.47,86,0,5.01,clear sky
105,Polovinnoye,RU,54.7914,65.9864,47.8,30,100,7.38,overcast clouds
106,Tweed,CA,44.4751,-77.3162,58.19,89,20,4.45,few clouds
107,Sagarejo,GE,41.734,45.3315,64.83,72,93,2.51,overcast clouds
108,Westport,US,41.1415,-73.3579,61.56,88,100,15.01,overcast clouds
109,Saint George,US,37.1041,-113.5841,80.8,23,14,0.31,few clouds
110,Palestine,PS,31.9216,35.2033,64.35,85,0,4.47,clear sky
111,Mahebourg,MU,-20.4081,57.7,70.09,83,40,9.22,scattered clouds
112,Sao Filipe,CV,14.8961,-24.4956,78.71,84,97,11.27,overcast clouds
113,Hailun,CN,47.45,126.9333,41.43,27,4,5.84,clear sky
114,Butaritari,KI,3.0707,172.7902,82.08,72,10,12.71,clear sky
115,Liverpool,GB,53.4106,-2.9779,52.05,82,0,11.5,clear sky
116,Soyo,AO,-6.1349,12.3689,75.09,87,97,6.62,overcast clouds
117,Hermanus,ZA,-34.4187,19.2345,47.8,83,0,11.3,clear sky
118,Arraial Do Cabo,BR,-22.9661,-42.0278,69.28,85,100,13.31,overcast clouds
119,Yar-Sale,RU,66.8333,70.8333,32.79,91,100,11.3,overcast clouds
120,Kodiak,US,57.79,-152.4072,53.11,94,100,13.8,mist
121,Sistranda,NO,63.7256,8.834,51.76,73,0,29.93,light rain
122,Buenaventura,CO,3.8801,-77.0312,74.68,94,100,1.72,light rain
123,Castro,BR,-24.7911,-50.0119,60.64,94,100,6.69,overcast clouds
124,Acapulco,MX,16.8634,-99.8901,79.9,83,45,3.0,scattered clouds
125,Corn Island,NI,12.1694,-83.0418,83.95,75,100,11.14,overcast clouds
126,Kismayo,SO,-0.3582,42.5454,76.62,88,38,12.39,scattered clouds
127,Muncar,ID,-8.4333,114.3333,79.41,82,100,7.2,overcast clouds
128,Bowen,AU,-20.0167,148.2333,78.51,65,1,15.48,clear sky
129,Egvekinot,RU,66.3167,-179.1667,35.33,100,100,8.84,snow
130,Carnarvon,AU,-24.8667,113.6333,64.29,48,0,24.54,clear sky
131,Mackay,AU,-21.15,149.2,77.68,72,33,14.54,scattered clouds
132,Hirara,JP,24.8,125.2833,82.26,78,40,17.27,scattered clouds
133,Esperance,AU,-33.8667,121.9,56.95,59,6,20.71,clear sky
134,Hue,VN,16.4667,107.6,77.11,94,75,2.3,shower rain
135,Samarai,PG,-10.6167,150.6667,82.22,79,95,10.07,overcast clouds
136,Bata,GQ,1.8639,9.7658,76.48,90,98,5.21,moderate rain
137,Nemuro,JP,43.3236,145.575,52.27,63,100,17.94,overcast clouds
138,Fuyu,CN,45.1833,124.8167,44.22,33,0,5.97,clear sky
139,Mahon,ES,39.8885,4.2658,68.56,83,0,4.61,clear sky
140,Lorengau,PG,-2.0226,147.2712,85.37,71,97,13.8,overcast clouds
141,Sitka,US,57.0531,-135.33,57.09,100,100,11.5,light rain
142,Garachine,PA,8.0647,-78.3628,78.62,86,100,7.85,overcast clouds
143,Ivybridge,GB,50.3904,-3.9191,53.91,85,0,10.98,clear sky
144,Ancud,CL,-41.8697,-73.8203,49.66,94,100,16.64,moderate rain
145,Katsuura,JP,35.1333,140.3,59.02,87,100,22.44,overcast clouds
146,Campbell River,CA,50.0163,-125.2446,62.46,71,8,1.48,clear sky
147,Itarema,BR,-2.9248,-39.9167,78.48,84,11,16.71,few clouds
148,Longyearbyen,SJ,78.2186,15.6401,34.45,96,86,7.43,overcast clouds
149,Lumphat,KH,13.4878,106.9816,76.3,94,100,2.84,overcast clouds
150,Khartoum,SD,15.5518,32.5324,86.02,53,5,8.81,clear sky
151,Laguna,US,38.421,-121.4238,91.06,36,0,6.91,clear sky
152,Obihiro,JP,42.9172,143.2044,52.21,46,75,9.22,broken clouds
153,Nanortalik,GL,60.1432,-45.2371,38.1,85,51,17.09,broken clouds
154,Port Moresby,PG,-9.4431,147.1797,85.3,67,47,7.58,scattered clouds
155,Alofi,NU,-19.0595,-169.9187,77.4,80,96,15.05,overcast clouds
156,Naze,JP,28.3667,129.4833,75.67,71,92,8.97,overcast clouds
157,Saint-Augustin,CA,51.226,-58.6502,49.78,94,74,7.54,broken clouds
158,Mamou,GN,10.5,-12.0,68.74,93,100,1.1,overcast clouds
159,Ventspils,LV,57.3894,21.5606,57.13,94,100,14.97,overcast clouds
160,Ovalle,CL,-30.5983,-71.2003,55.8,77,0,3.49,clear sky
161,Daru,PG,-9.0763,143.2092,82.0,86,87,15.88,overcast clouds
162,Cayenne,GF,4.9333,-52.3333,78.84,89,20,3.44,few clouds
163,Ixtapa,MX,20.7,-105.2,77.36,92,40,0.81,scattered clouds
164,Bethel,US,41.3712,-73.414,60.19,88,100,4.0,overcast clouds
165,San Patricio,US,28.017,-97.5169,78.89,53,3,10.58,clear sky
166,Mejicanos,SV,13.7403,-89.2131,74.05,95,63,2.33,broken clouds
167,Ngunguru,NZ,-35.6167,174.5,56.17,50,78,17.83,broken clouds
168,Diego De Almagro,CL,-26.3667,-70.05,52.09,52,0,3.71,clear sky
169,Port Hardy,CA,50.6996,-127.4199,61.18,85,61,8.01,broken clouds
170,Pangody,RU,65.85,74.4859,31.23,89,29,7.29,scattered clouds
171,Norman Wells,CA,65.282,-126.8329,42.62,74,97,8.93,overcast clouds
172,Culpeper,US,38.5004,-77.9664,62.1,83,75,0.0,broken clouds
173,Miles City,US,46.4083,-105.8406,67.17,55,0,11.5,clear sky
174,Huntington,US,38.4193,-82.4452,55.45,90,7,2.24,clear sky
175,Lompoc,US,34.6391,-120.4579,81.01,85,100,8.05,mist
176,Grand-Lahou,CI,5.1367,-5.0242,74.79,94,85,6.8,overcast clouds
177,Tasiilaq,GL,65.6145,-37.6368,30.36,52,89,5.77,overcast clouds
178,Mehamn,NO,71.0357,27.8492,42.75,75,100,10.36,overcast clouds
179,Nikolskoye,RU,59.7035,30.7861,49.91,98,100,7.31,overcast clouds
180,Kaitangata,NZ,-46.2817,169.8464,41.85,86,98,17.38,overcast clouds
181,Mabaruma,GY,8.2,-59.7833,74.89,95,91,3.42,overcast clouds
182,Avera,US,33.194,-82.5271,62.11,35,91,0.83,overcast clouds
183,Torbay,CA,47.6666,-52.7314,52.27,86,100,1.01,overcast clouds
184,Chuy,UY,-33.6971,-53.4616,58.55,85,100,12.12,overcast clouds
185,Nizhniy Tsasuchey,RU,50.5167,115.1333,33.17,49,0,4.27,clear sky
186,Ahtopol,BG,42.1,27.95,58.51,66,46,6.87,scattered clouds
187,Baturaja,ID,-4.1333,104.1667,77.83,89,100,0.76,moderate rain
188,Vaini,TO,-21.2,-175.2,76.28,82,100,7.92,moderate rain
189,Vanimo,PG,-2.6741,141.3028,84.04,74,89,7.99,overcast clouds
190,Manavgat,TR,36.7867,31.4431,70.34,53,0,6.8,clear sky
191,Iqaluit,CA,63.7506,-68.5145,31.69,97,100,8.01,overcast clouds
192,Hasaki,JP,35.7333,140.8333,61.29,78,100,23.29,light rain
193,Beloha,MG,-25.1667,45.05,67.19,81,0,2.3,clear sky
194,Ponta Do Sol,PT,32.6667,-17.1,68.63,78,6,4.97,clear sky
195,Andenes,NO,69.3143,16.1194,46.38,18,20,17.27,light rain
196,Broken Hill,AU,-31.95,141.4333,77.34,25,0,13.09,clear sky
197,Requena,ES,39.4883,-1.1004,60.78,93,46,3.67,scattered clouds
198,Malibu,US,34.005,-118.8101,86.97,71,0,8.03,clear sky
199,Brae,GB,60.3964,-1.353,50.81,77,56,30.44,broken clouds
200,Kloulklubed,PW,7.0419,134.2556,86.5,73,81,9.13,broken clouds
201,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,73,0,14.97,clear sky
202,Peace River,CA,56.2501,-117.286,50.5,58,40,6.33,scattered clouds
203,Abu Samrah,SY,35.3029,37.1841,67.01,58,0,2.15,clear sky
204,Coihaique,CL,-45.5752,-72.0662,44.55,76,100,4.61,light rain
205,Tyazhinskiy,RU,56.116,88.524,32.9,99,100,7.18,snow
206,Cidreira,BR,-30.1811,-50.2056,63.55,81,100,21.5,overcast clouds
207,Faya,SA,18.3851,42.4509,66.72,32,1,6.42,clear sky
208,Okhotsk,RU,59.3833,143.3,33.39,45,100,13.73,overcast clouds
209,Ilulissat,GL,69.2167,-51.1,26.62,54,20,5.75,few clouds
210,Sturlic,BA,45.0639,15.7781,45.1,78,100,2.68,overcast clouds
211,Riyadh,SA,24.6877,46.7219,78.06,16,0,2.68,clear sky
212,Bakel,SN,14.905,-12.4568,84.52,69,36,13.53,scattered clouds
213,Nabire,ID,-3.3667,135.4833,81.88,82,68,2.01,broken clouds
214,Lac-Megantic,CA,45.5834,-70.8823,51.55,74,5,2.28,clear sky
215,Boa Vista,BR,2.8197,-60.6733,80.58,74,75,4.61,broken clouds
216,Key West,US,24.5557,-81.7826,84.0,65,9,5.01,clear sky
217,Tambun,ID,-6.2641,107.0712,85.48,78,20,3.44,haze
218,Joacaba,BR,-27.1781,-51.5047,63.68,92,100,3.29,light rain
219,Pilar,BR,-9.5972,-35.9567,73.33,95,5,4.52,clear sky
220,Takahashi,JP,34.7833,133.6167,59.47,79,100,5.32,light rain
221,Gushikawa,JP,26.3544,127.8686,81.63,78,29,9.91,scattered clouds
222,Sciacca,IT,37.5082,13.0881,67.03,81,5,1.3,clear sky
223,Dunedin,NZ,-45.8742,170.5036,40.03,89,100,21.74,overcast clouds
224,Wamba,NG,8.9333,8.6,70.72,92,96,3.0,light rain
225,Broome,US,42.2506,-75.833,54.63,79,0,2.35,clear sky
226,Luderitz,NA,-26.6481,15.1594,53.92,78,4,15.68,clear sky
227,Taft,IR,31.7471,54.2088,63.73,22,0,3.29,clear sky
228,Bambous Virieux,MU,-20.3428,57.7575,71.85,73,75,10.36,broken clouds
229,Heihe,CN,50.2441,127.4902,41.58,29,8,12.03,clear sky
230,Xuddur,SO,4.1213,43.8894,71.51,83,64,12.68,broken clouds
231,Canton,CN,23.1167,113.25,85.87,69,6,4.32,clear sky
232,Sidney,AU,-33.8679,151.2073,61.95,94,75,12.66,heavy intensity rain
233,Powell River,CA,49.8496,-124.5361,70.09,82,33,1.95,scattered clouds
234,Khasan,RU,42.4308,130.6434,47.26,45,43,7.56,scattered clouds
235,Tuymazy,RU,54.6067,53.7097,48.9,58,100,6.15,light rain
236,Isangel,VU,-19.55,169.2667,80.71,78,75,11.5,broken clouds
237,Grindavik,IS,63.8424,-22.4338,43.27,75,75,4.61,broken clouds
238,Khrebtovaya,RU,56.7032,104.2494,29.26,93,100,4.94,light snow
239,Codajas,BR,-3.8367,-62.0569,80.02,63,59,2.3,broken clouds
240,Bilma,NE,18.6853,12.9164,86.02,20,20,0.54,few clouds
241,San Cristobal,VE,7.7669,-72.225,71.78,97,100,1.68,overcast clouds
242,Alice Springs,AU,-23.7,133.8833,88.21,40,0,12.66,clear sky
243,Narsaq,GL,60.9167,-46.05,37.62,90,19,4.81,few clouds
244,Kampong Thum,KH,12.7111,104.8887,73.24,93,100,3.62,overcast clouds
245,Shingu,JP,33.7333,135.9833,67.37,68,100,4.63,overcast clouds
246,Wanning,CN,18.8003,110.3967,81.5,84,12,7.81,few clouds
247,Sibolga,ID,1.7427,98.7792,75.42,86,100,3.47,overcast clouds
248,Vidim,RU,56.4088,103.1106,31.91,96,100,4.45,light snow
249,Mlonggo,ID,-6.5333,110.7,82.44,69,100,8.99,overcast clouds
250,Araouane,ML,18.9048,-3.5265,92.55,23,14,5.91,few clouds
251,Roswell,US,34.0232,-84.3616,66.54,62,0,5.75,clear sky
252,Iki-Burul,RU,45.8208,44.6472,56.07,84,100,6.69,overcast clouds
253,Kommunisticheskiy,RU,61.6789,64.4819,41.36,85,100,4.79,overcast clouds
254,Obo,CF,5.3998,26.4869,67.71,96,97,3.38,overcast clouds
255,Oyon,PE,-10.6681,-76.7731,47.07,58,29,2.77,scattered clouds
256,Tiksi,RU,71.6872,128.8694,22.73,82,100,15.32,overcast clouds
257,Wattegama,LK,6.7989,81.4808,74.75,83,100,5.88,overcast clouds
258,Saskylakh,RU,71.9167,114.0833,13.26,95,97,6.04,overcast clouds
259,Vieques,PR,18.425,-65.8329,84.22,74,20,4.61,haze
260,Latung,PH,5.5,120.8833,83.32,73,100,4.45,overcast clouds
261,Vestmannaeyjar,IS,63.4427,-20.2734,45.3,70,93,13.11,overcast clouds
262,Yakeshi,CN,49.2833,120.7333,33.04,46,8,8.01,clear sky
263,Havre-Saint-Pierre,CA,50.2334,-63.5986,50.59,81,100,1.81,overcast clouds
264,Vrangel,RU,42.7297,133.0839,47.64,35,4,8.19,clear sky
265,Matara,LK,5.9485,80.5353,77.2,89,100,11.92,overcast clouds
266,Le Port,RE,-20.9373,55.2919,67.96,79,52,5.1,broken clouds
267,Ribeira Grande,PT,38.5167,-28.7,70.27,86,98,5.06,light rain
268,Borogontsy,RU,62.6683,131.1683,25.74,76,100,5.14,overcast clouds
269,Taungdwingyi,MM,20.0167,95.55,77.92,85,11,3.44,few clouds
270,Tadine,NC,-21.55,167.8833,75.22,55,100,12.55,overcast clouds
271,Keetmanshoop,NA,-26.5833,18.1333,61.59,33,3,7.74,clear sky
272,Pinega,RU,64.7001,43.3936,45.01,96,100,3.71,overcast clouds
273,Salalah,OM,17.0151,54.0924,77.09,83,0,3.44,clear sky
274,Manoel Urbano,BR,-8.8389,-69.2597,76.53,81,75,3.11,broken clouds
275,Batagay,RU,67.6333,134.6333,21.34,90,100,4.14,light snow
276,Chapleau,CA,47.8405,-83.4034,59.09,77,100,5.75,overcast clouds
277,Mizdah,LY,31.4451,12.9801,60.91,87,0,8.77,clear sky
278,Walvis Bay,NA,-22.9575,14.5053,52.92,93,0,10.85,clear sky
279,Mirador,BR,-6.3708,-44.3631,81.97,30,0,1.68,clear sky
280,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,46.99,43,75,8.95,light rain
281,Agadez,NE,19.75,10.25,82.04,24,0,13.96,clear sky
282,Sola,VU,-13.8833,167.55,80.53,76,29,12.68,scattered clouds
283,Bien Hoa,VN,10.95,106.8167,80.58,91,100,4.32,overcast clouds
284,Gaoua,BF,10.2992,-3.2508,73.45,90,90,3.8,light rain
285,Cherskiy,RU,68.75,161.3,28.6,96,100,9.64,light snow
286,Fukue,JP,32.6881,128.8419,68.2,77,100,13.13,overcast clouds
287,Kavaratti,IN,10.5669,72.642,80.87,78,98,13.65,overcast clouds
288,Wageningen,NL,51.9667,5.6667,56.03,88,75,11.5,broken clouds
289,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,73.58,78,76,7.36,broken clouds
290,Diamantino,BR,-14.4086,-56.4461,78.48,67,12,5.12,few clouds
291,Na Wa,TH,17.4897,104.1006,78.19,83,16,3.24,few clouds
292,Yulara,AU,-25.2406,130.9889,80.67,18,0,7.0,clear sky
293,Gamboula,CF,4.1178,15.1393,67.08,98,100,3.09,light rain
294,Udachnyy,RU,66.4167,112.4,18.75,95,91,9.31,overcast clouds
295,Codrington,AU,-38.2667,141.9667,61.29,83,100,12.59,overcast clouds
296,Saint-Paul,RE,-21.0096,55.2707,68.09,81,55,2.48,broken clouds
297,Shahrud,IR,36.4182,54.9763,63.14,26,0,4.18,clear sky
298,Areia Branca,BR,-4.9561,-37.1369,77.83,80,0,22.66,clear sky
299,Bafia,CM,4.75,11.2333,67.51,99,100,1.14,light rain
300,Pangnirtung,CA,66.1451,-65.7125,30.76,93,100,3.33,light snow
301,Tutoia,BR,-2.7619,-42.2744,79.0,84,0,15.1,clear sky
302,Bure,ET,10.7,37.0667,53.06,93,18,3.53,few clouds
303,Shenzhen,CN,22.5455,114.0683,86.27,70,7,7.43,clear sky
304,Hobyo,SO,5.3505,48.5268,76.73,87,96,15.55,overcast clouds
305,North Platte,US,41.1239,-100.7654,66.11,54,0,5.99,clear sky
306,Teya,RU,60.3778,92.6267,31.42,98,97,3.11,light snow
307,Kedrovyy,RU,56.1667,91.8167,32.41,99,100,6.29,snow
308,Punta Cardon,VE,11.6581,-70.215,84.63,72,100,14.72,overcast clouds
309,Odesa,UA,46.4775,30.7326,57.76,51,100,3.78,overcast clouds
310,Darhan,MN,49.4867,105.9228,34.65,42,88,4.03,overcast clouds
311,Hofn,IS,64.2539,-15.2082,42.51,57,8,10.78,clear sky
312,Soissons,FR,49.3333,3.3333,54.41,82,55,7.2,broken clouds
313,San Jose De Rio Tinto,HN,14.9333,-85.7,70.68,98,100,3.38,overcast clouds
314,Kongolo,CD,-5.3833,27.0,71.96,78,100,3.65,overcast clouds
315,Dikson,RU,73.5069,80.5464,30.79,83,100,11.5,overcast clouds
316,Concord,US,37.978,-122.0311,89.71,44,0,8.05,clear sky
317,Uribia,CO,11.7139,-72.266,82.2,77,100,13.24,overcast clouds
318,Popondetta,PG,-8.7537,148.2534,92.64,46,84,6.76,broken clouds
319,Gorontalo,ID,0.5412,123.0595,86.23,67,35,1.83,scattered clouds
320,College,US,64.8569,-147.8028,48.58,71,20,0.0,few clouds
321,Stromness,GB,58.965,-3.296,51.76,84,100,8.99,overcast clouds
322,Chokurdakh,RU,70.6333,147.9167,20.7,90,94,8.12,overcast clouds
323,San Quintin,MX,30.4833,-115.95,69.76,79,75,8.52,broken clouds
324,Muroto,JP,33.2833,134.15,69.21,69,100,19.44,overcast clouds
325,Husavik,IS,66.0449,-17.3389,36.55,98,100,28.57,overcast clouds
326,Ishigaki,JP,24.3448,124.1572,82.53,78,75,16.11,broken clouds
327,Jaumave,MX,23.4167,-99.3833,67.69,92,100,2.53,overcast clouds
328,Honningsvag,NO,70.9821,25.9704,42.55,81,75,16.11,broken clouds
329,Tilichiki,RU,60.4667,166.1,37.53,73,42,26.57,scattered clouds
330,Stornoway,GB,58.2093,-6.3865,50.94,83,75,10.36,light rain
331,Jambi,ID,-1.6,103.6167,76.08,94,100,2.93,moderate rain
332,Port Blair,IN,11.6667,92.75,77.04,94,75,1.14,mist
333,Hervey Bay,AU,-25.2986,152.8535,75.02,65,20,5.99,few clouds
334,Kiama,AU,-34.6833,150.8667,61.57,92,100,14.0,light rain
